TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT5G02100;Oxysterol-binding family protein(UNE18);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.002939357;;;;;;;;
AT4G27595;WEB family protein (DUF827)(AT4G27595);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.004518997;;;;;;;;
AT1G65520;delta(3), delta(2)-enoyl CoA isomerase 1(ECI1);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.022802131;;;;;;;;
AT1G14140;Mitochondrial substrate carrier family protein(UCP3);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.021457359;;;;;;;;
AT1G56290;CwfJ-like family protein(AT1G56290);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.016339336;;;;;;;;
AT1G65845;transmembrane protein(AT1G65845);8;07.θών;3;4h;;;;;;1.1;1.1;-0.9;;;;;;;;;;;;;;0.001006791;0.001529298;0.028066451;;;;;;;;
AT1G73740;UDP-Glycosyltransferase superfamily protein(AT1G73740);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.020851071;;;;;;;;
AT5G01990;Auxin efflux carrier family protein(AT5G01990);8#12-13;;3;4h;;;;;;;;-0.9;;;;-0.5;-0.9;;;;;;;;;;;0.018986212;;;;0.019317243;0.033106092;;;
AT4G11570;Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G11570);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;4.61E-05;;;;;;;;
AT3G26470;Powdery mildew resistance protein, RPW8 domain-containing protein(AT3G26470);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.038689477;;;;;;;;
AT2G29650;"phosphate transporter 4;1(PHT4;1)";8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;8.57E-05;;;;;;;;
AT4G12310;cytochrome P450, family 706, subfamily A, polypeptide 5(CYP706A5);8#12;;2;4h;;;;;;;;-0.9;;;;-0.2;;;;;;;;;;;;0.001714842;;;;0.006745903;;;;
AT4G31140;O-Glycosyl hydrolases family 17 protein(AT4G31140);8#16;;2;4h;;;;;;;;-0.9;;;;;;;;-0.6;;;;;;;;0.015470779;;;;;;;;0.036744489
AT5G55540;tornado 1(TRN1);8;;1;4h;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.039317747;;;;;;;;
AT1G55960;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G55960);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.004998523;;;;;;;;
AT1G08570;atypical CYS HIS rich thioredoxin 4(ACHT4);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;9.73E-08;;;;;;;;
AT1G22070;transcription factor TGA3(TGA3);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.001307294;;;;;;;;
AT3G52950;CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein(AT3G52950);8;13;2;4h;;;;;;;;-0.8;;;;;0.5;;;;;;;;;;;0.002705924;;;;;0.038917991;;;
AT3G07360;plant U-box 9(PUB9);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;1.29E-06;;;;;;;;
AT1G64370;filaggrin-like protein(AT1G64370);8#12#15;7#10;5;4h;;;;;;;0.9;-0.8;;1;;-0.5;;;-0.6;;;;;;;;0.035022281;0.000442309;;0.000501809;;0.012649885;;;0.041476062;
AT1G64760;O-Glycosyl hydrolases family 17 protein(AT1G64760);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.027739184;;;;;;;;
AT1G16780;"Inorganic H pyrophosphatase family protein(VHP2;2)";8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.001278102;;;;;;;;
AT3G03550;RING/U-box superfamily protein(AT3G03550);8#10;;2;4h;;;;;;;;-0.8;;-0.6;;;;;;;;;;;;;;0.00110485;;0.000170292;;;;;;
AT5G37500;gated outwardly-rectifying K+ channel(GORK);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.00061631;;;;;;;;
AT2G46420;helicase with zinc finger protein(AT2G46420);7-8#10;;3;4h;;;;;;;-0.8;-0.8;;-1;;;;;;;;;;;;;0.041172919;0.01191403;;0.00016853;;;;;;
AT2G38860;Class I glutamine amidotransferase-like superfamily protein(YLS5);8;10;2;4h;;;;;;;;-0.8;;0.6;;;;;;;;;;;;;;0.005925653;;2.56E-05;;;;;;
AT3G16050;pyridoxine biosynthesis 1.2(PDX1.2);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.024909754;;;;;;;;
AT3G14200;Chaperone DnaJ-domain superfamily protein(AT3G14200);8;12;2;4h;;;;;;;;-0.8;;;;0.4;;;;;;;;;;;;0.016796699;;;;0.009256871;;;;
AT2G11520;calmodulin-binding receptor-like cytoplasmic kinase 3(CRCK3);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.001176307;;;;;;;;
AT2G01260;hypothetical protein (DUF789)(AT2G01260);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.006337957;;;;;;;;
AT5G20070;nudix hydrolase homolog 19(NUDX19);8#10;;2;4h;;;;;;;;-0.8;;-0.4;;;;;;;;;;;;;;1.04E-06;;0.00354865;;;;;;
AT2G11000;MAK10 homologue(MAK10);8;;1;4h;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.017370189;;;;;;;;
AT1G78820;D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein(AT1G78820);8#12;14;3;4h;;;;;;;;-0.8;;;;-0.3;;1.4;;;;;;;;;;0.006377689;;;;0.005861281;;0.003584778;;
AT5G15050;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT5G15050);8#12;;2;4h;;;;;;;;-0.8;;;;-0.4;;;;;;;;;;;;0.001994601;;;;0.019710874;;;;
AT4G38730;magnesium transporter, putative (DUF803)(AT4G38730);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.015599614;;;;;;;;
AT2G33255;Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G33255);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.029494226;;;;;;;;
AT1G77280;kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT1G77280);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.008416071;;;;;;;;
AT5G42970;Proteasome component (PCI) domain protein(COP8);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.018627489;;;;;;;;
AT2G40140;zinc finger (CCCH-type) family protein(CZF1);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.006231376;;;;;;;;
AT5G10820;Major facilitator superfamily protein(AT5G10820);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.01078415;;;;;;;;
AT2G30460;Nucleotide/sugar transporter family protein(AT2G30460);8#10;;2;4h;;;;;;;;-0.7;;-0.6;;;;;;;;;;;;;;0.033995975;;0.003464452;;;;;;
AT1G32920;hypothetical protein(AT1G32920);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.002517082;;;;;;;;
AT1G07135;glycine-rich protein(AT1G07135);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.003531643;;;;;;;;
AT2G28080;UDP-Glycosyltransferase superfamily protein(AT2G28080);8#10;16;3;4h;;;;;;;;-0.7;;-0.5;;;;;;0.6;;;;;;;;0.032953098;;0.014838302;;;;;;0.044442693
AT5G44060;embryo sac development arrest protein(AT5G44060);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.023223552;;;;;;;;
AT4G38060;hypothetical protein(AT4G38060);8#10;;2;4h;;;;;;;;-0.7;;-0.4;;;;;;;;;;;;;;0.001368567;;0.038187087;;;;;;
AT5G48910;Pentatricopeptide repeat (PPR) superfamily protein(LPA66);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.03731875;;;;;;;;
AT1G61520;PSI type III chlorophyll a/b-binding protein(LHCA3);8;14-15;3;4h;;;;;;;;-0.7;;;;;;0.9;1.4;;;;;;;;;1.13E-11;;;;;;0.025951666;0.019937092;
AT3G23340;casein kinase I-like 10(ckl10);8;10;2;4h;;;;;;;;-0.7;;1.1;;;;;;;;;;;;;;0.001661625;;0.000533146;;;;;;
AT3G57570;ARM repeat superfamily protein(AT3G57570);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.028966796;;;;;;;;
AT3G52400;syntaxin of plants 122(SYP122);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.003607214;;;;;;;;
AT3G51250;Senescence/dehydration-associated protein-like protein(AT3G51250);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.001761349;;;;;;;;
AT4G33040;Thioredoxin superfamily protein(AT4G33040);8#14-15;;3;4h;;;;;;;;-0.7;;;;;;-1.4;-0.9;;;;;;;;;0.021858346;;;;;;0.001397821;0.01768085;
AT4G10040;cytochrome c-2(CYTC-2);8#16;;2;4h;;;;;;;;-0.7;;;;;;;;-0.7;;;;;;;;0.007320974;;;;;;;;0.01404628
AT1G48210;Protein kinase superfamily protein(AT1G48210);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.000354245;;;;;;;;
AT5G13550;"sulfate transporter 4.1(SULTR4;1)";8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.000946795;;;;;;;;
AT5G24590;TCV-interacting protein(TIP);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.002128987;;;;;;;;
AT3G26570;"phosphate transporter 2;1(PHT2;1)";8#12;;2;4h;;;;;;;;-0.7;;;;-0.5;;;;;;;;;;;;5.52E-06;;;;6.71E-08;;;;
AT1G68820;Transmembrane Fragile-X-F-associated protein(AT1G68820);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.005999152;;;;;;;;
AT5G07020;proline-rich family protein(AT5G07020);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.001429171;;;;;;;;
AT2G34930;disease resistance family protein / LRR family protein(AT2G34930);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.013344857;;;;;;;;
AT3G56360;hypothetical protein(AT3G56360);8;6#10;3;4h;;;;;;0.6;;-0.7;;0.3;;;;;;;;;;;;0.027825001;;0.000241298;;0.023758892;;;;;;
AT1G78620;integral membrane protein (Protein of unknown function DUF92, transmembrane)(AT1G78620);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.015239617;;;;;;;;
AT5G55550;RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G55550);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.006372953;;;;;;;;
AT1G42540;glutamate receptor 3.3(GLR3.3);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.015747474;;;;;;;;
AT5G57345;transmembrane protein(AT5G57345);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.019056608;;;;;;;;
AT5G64040;photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)(PSAN);8;15;2;4h;;;;;;;;-0.7;;;;;;;1.9;;;;;;;;;2.90E-06;;;;;;;0.010600523;
AT3G62130;Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(LCD);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.006553357;;;;;;;;
AT5G64640;Plant invertase/pectin methylesterase inhibitor superfamily(AT5G64640);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.030082036;;;;;;;;
AT3G54900;CAX interacting protein 1(CXIP1);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.003169679;;;;;;;;
AT1G64060;respiratory burst oxidase protein F(RBOH F);8;;1;4h;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.022788641;;;;;;;;
AT5G22090;FAF-like protein (DUF3049)(AT5G22090);8#12;;2;4h;;;;;;;;-0.6;;;;-0.4;;;;;;;;;;;;0.000111766;;;;1.97E-09;;;;
AT3G53930;Protein kinase superfamily protein(AT3G53930);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.041136011;;;;;;;;
AT5G56980;cotton fiber protein(AT5G56980);8#10;;2;4h;;;;;;;;-0.6;;-0.5;;;;;;;;;;;;;;0.008005026;;0.007531774;;;;;;
AT1G07960;PDI-like 5-1(PDIL5-1);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.03869725;;;;;;;;
AT3G54460;SNF2 domain-containing protein / helicase domain-containing protein / F-box family protein(AT3G54460);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.030743406;;;;;;;;
AT5G64180;tropomyosin(AT5G64180);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.042360926;;;;;;;;
AT5G01520;RING/U-box superfamily protein(AIRP2);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.000589738;;;;;;;;
AT2G37750;hypothetical protein(AT2G37750);8;10;2;4h;;;;;;;;-0.6;;0.4;;;;;;;;;;;;;;0.008473239;;0.014140572;;;;;;
AT1G33590;Leucine-rich repeat (LRR) family protein(AT1G33590);8#12;10#14#16;5;4h;;;;;;;;-0.6;;0.6;;-0.2;;1.1;;1.3;;;;;;;;0.001331181;;2.99E-05;;0.010074857;;0.013515436;;0.008852982
AT1G03310;debranching enzyme 1(DBE1);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.018492174;;;;;;;;
AT3G22950;ADP-ribosylation factor C1(ARFC1);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.035010799;;;;;;;;
AT4G37470;alpha/beta-Hydrolases superfamily protein(KAI2);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.000971515;;;;;;;;
AT2G38010;Neutral/alkaline non-lysosomal ceramidase(AT2G38010);8#12;;2;4h;;;;;;;;-0.6;;;;-0.5;;;;;;;;;;;;0.030139702;;;;0.001151268;;;;
AT4G29330;DERLIN-1(DER1);8#10;;2;4h;;;;;;;;-0.6;;-0.4;;;;;;;;;;;;;;0.03228483;;0.010575176;;;;;;
AT5G20960;aldehyde oxidase 1(AO1);8#10#12;;3;4h;;;;;;;;-0.6;;-0.4;;-0.3;;;;;;;;;;;;0.01828745;;0.001364958;;0.000709064;;;;
AT3G59060;phytochrome interacting factor 3-like 6(PIL6);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.01063131;;;;;;;;
AT5G66460;Glycosyl hydrolase superfamily protein(MAN7);6-8#10;;4;4h;;;;;;-0.7;-0.8;-0.6;;-1.7;;;;;;;;;;;;0.030023239;0.008652141;0.004442718;;9.22E-16;;;;;;
AT4G13530;transmembrane protein(AT4G13530);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.00555364;;;;;;;;
AT5G56650;IAA-leucine resistant (ILR)-like 1(ILL1);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.030612522;;;;;;;;
AT3G03300;dicer-like 2(DCL2);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.034408536;;;;;;;;
AT1G32070;nuclear shuttle interacting(NSI);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.022366809;;;;;;;;
AT1G50670;OTU-like cysteine protease family protein(AT1G50670);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.004551044;;;;;;;;
AT3G44300;nitrilase 2(NIT2);8;10;2;4h;;;;;;;;-0.6;;0.6;;;;;;;;;;;;;;0.000160403;;3.51E-06;;;;;;
AT1G63110;GPI transamidase subunit PIG-U(AT1G63110);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.015748142;;;;;;;;
AT3G51830;SAC domain-containing protein 8(SAC8);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.015958975;;;;;;;;
AT1G61780;postsynaptic protein-like protein(AT1G61780);8;;1;4h;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.030629445;;;;;;;;
AT5G50400;purple acid phosphatase 27(PAP27);8;14;2;4h;;;;;;;;-0.6;;;;;;0.5;;;;;;;;;;0.025234628;;;;;;0.031404245;;
AT3G48200;transmembrane protein(AT3G48200);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.033039364;;;;;;;;
AT4G10590;ubiquitin-specific protease 10(UBP10);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.025227227;;;;;;;;
AT2G44670;senescence-associated family protein (DUF581)(AT2G44670);8;10;2;4h;;;;;;;;-0.5;;0.4;;;;;;;;;;;;;;0.000600239;;0.002214239;;;;;;
AT5G54280;myosin 2(ATM2);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.024368613;;;;;;;;
AT2G16800;high-affinity nickel-transport family protein(AT2G16800);8;6;2;4h;;;;;;0.6;;-0.5;;;;;;;;;;;;;;0.038889889;;0.029760456;;;;;;;;
AT3G08680;Leucine-rich repeat protein kinase family protein(AT3G08680);8#10#12;6;4;4h;;;;;;0.5;;-0.5;;-0.6;;-0.3;;;;;;;;;;0.040785905;;0.043177569;;7.76E-08;;0.001774598;;;;
AT5G17230;PHYTOENE SYNTHASE(PSY);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00051372;;;;;;;;
AT2G42490;Copper amine oxidase family protein(AT2G42490);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;3.27E-06;;;;;;;;
AT5G36250;Protein phosphatase 2C family protein(PP2C74);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.020965228;;;;;;;;
AT3G51520;diacylglycerol acyltransferase family(DGAT2);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002692418;;;;;;;;
AT1G15290;Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G15290);8#10#12;;3;4h;;;;;;;;-0.5;;-0.6;;-0.2;;;;;;;;;;;;0.002452421;;0.001029601;;0.004744533;;;;
AT3G11280;Duplicated homeodomain-like superfamily protein(AT3G11280);8;14-15;3;4h;;;;;;;;-0.5;;;;;;0.8;1.1;;;;;;;;;0.011301673;;;;;;0.025597048;0.010083841;
AT1G44100;amino acid permease 5(AAP5);8;12;2;4h;;;;;;;;-0.5;;;;0.2;;;;;;;;;;;;0.044669332;;;;0.034387319;;;;
AT3G17650;YELLOW STRIPE like 5(YSL5);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.009458545;;;;;;;;
AT2G17230;EXORDIUM like 5(EXL5);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.026091006;;;;;;;;
AT3G46460;ubiquitin-conjugating enzyme 13(UBC13);8#10;;2;4h;;;;;;;;-0.5;;-0.4;;;;;;;;;;;;;;0.026859564;;0.031660452;;;;;;
AT1G01780;GATA type zinc finger transcription factor family protein(PLIM2b);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.01752875;;;;;;;;
AT4G01210;glycosyl transferase family 1 protein(AT4G01210);8#10;;2;4h;;;;;;;;-0.5;;-0.4;;;;;;;;;;;;;;0.003933048;;0.00667242;;;;;;
AT5G28450;Chlorophyll A-B binding family protein(AT5G28450);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.028188222;;;;;;;;
AT3G02050;K+ uptake transporter 3(KUP3);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.03096078;;;;;;;;
AT4G16660;heat shock protein 70 (Hsp 70) family protein(AT4G16660);8#10#12;;3;4h;;;;;;;;-0.5;;-0.5;;-0.3;;;;;;;;;;;;0.032953098;;1.53E-07;;0.000136976;;;;
AT5G19940;Plastid-lipid associated protein PAP / fibrillin family protein(AT5G19940);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004397639;;;;;;;;
AT4G01120;G-box binding factor 2(GBF2);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.016933285;;;;;;;;
AT3G50440;methylesterase(MES10);8#12;;2;4h;;;;;;;;-0.5;;;;-0.5;;;;;;;;;;;;0.027560626;;;;0.007521309;;;;
AT5G22030;ubiquitin-specific protease 8(UBP8);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.033470315;;;;;;;;
AT3G43600;aldehyde oxidase 2(AAO2);8#12;;2;4h;;;;;;;;-0.5;;;;-0.2;;;;;;;;;;;;0.011253617;;;;0.024815392;;;;
AT3G06170;Serinc-domain containing serine and sphingolipid biosynthesis protein(AT3G06170);8;;1;4h;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.027569001;;;;;;;;
AT3G03990;alpha/beta-Hydrolases superfamily protein(AT3G03990);8;14-15;3;4h;;;;;;;;-0.4;;;;;;1;0.9;;;;;;;;;0.029424274;;;;;;0.032936421;0.018984548;
AT3G55960;Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT3G55960);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.033086762;;;;;;;;
AT1G30450;cation-chloride co-transporter 1(CCC1);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.028692114;;;;;;;;
AT4G00720;shaggy-like protein kinase 32(SK32);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.004371135;;;;;;;;
AT2G40400;DUF399 family protein, putative (DUF399 and DUF3411)(AT2G40400);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.039252203;;;;;;;;
AT5G39180;RmlC-like cupins superfamily protein(AT5G39180);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.02327106;;;;;;;;
AT1G15340;methyl-CPG-binding domain 10(MBD10);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.005225178;;;;;;;;
AT5G39150;RmlC-like cupins superfamily protein(AT5G39150);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.022350717;;;;;;;;
AT2G41820;Leucine-rich repeat protein kinase family protein(AT2G41820);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.041239632;;;;;;;;
AT5G51040;succinate dehydrogenase assembly factor(SDHAF2);8#12;;2;4h;;;;;;;;-0.4;;;;-0.3;;;;;;;;;;;;0.04;;;;0.027347885;;;;
AT1G50630;extracellular ligand-gated ion channel protein (DUF3537)(AT1G50630);8#10#12#14-15;;5;4h;;;;;;;;-0.4;;-0.7;;-0.8;;-0.7;-0.6;;;;;;;;;0.03948127;;5.72E-06;;4.11E-05;;0.00805808;0.038330821;
AT1G04440;casein kinase like 13(CKL13);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.00845634;;;;;;;;
AT2G04160;Subtilisin-like serine endopeptidase family protein(AIR3);8;10;2;4h;;;;;;;;-0.4;;0.3;;;;;;;;;;;;;;0.039824467;;0.024165086;;;;;;
AT2G37050;Leucine-rich repeat protein kinase family protein(AT2G37050);8;;1;4h;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.006364433;;;;;;;;
AT1G49580;Calcium-dependent protein kinase (CDPK) family protein(AT1G49580);8#10#12;;3;4h;;;;;;;;-0.4;;-0.3;;-0.3;;;;;;;;;;;;0.016424957;;0.012101901;;0.003498227;;;;
AT5G05780;RP non-ATPase subunit 8A(RPN8A);8#10;;2;4h;;;;;;;;-0.4;;-0.4;;;;;;;;;;;;;;0.010619455;;0.001166664;;;;;;
AT1G16180;Serinc-domain containing serine and sphingolipid biosynthesis protein(AT1G16180);8;10;2;4h;;;;;;;;-0.4;;0.3;;;;;;;;;;;;;;0.001848309;;0.006528408;;;;;;
AT5G47780;galacturonosyltransferase 4(GAUT4);8#10;;2;4h;;;;;;;;-0.4;;-0.5;;;;;;;;;;;;;;0.000843523;;2.49E-06;;;;;;
AT4G02770;photosystem I subunit D-1(PSAD-1);8#12;15;3;4h;;;;;;;;-0.3;;;;-0.6;;;1.3;;;;;;;;;0.000179854;;;;8.60E-18;;;0.043136437;
AT3G03070;NADH-ubiquinone oxidoreductase-like protein(AT3G03070);8#10;;2;4h;;;;;;;;-0.3;;-0.3;;;;;;;;;;;;;;0.027657133;;0.004401308;;;;;;
AT5G57655;xylose isomerase family protein(AT5G57655);8;;1;4h;;;;;;;;-0.3;;;;;;;;;;;;;;;;0.032953098;;;;;;;;
AT3G61580;Fatty acid/sphingolipid desaturase(SLD1);8#10#12;;3;4h;;;;;;;;-0.3;;-0.5;;-0.5;;;;;;;;;;;;0.028972476;;1.34E-06;;9.03E-08;;;;
AT1G45688;transmembrane protein(AT1G45688);8#10;;2;4h;;;;;;;;-0.3;;-0.4;;;;;;;;;;;;;;0.023809439;;0.000533438;;;;;;
AT5G23660;bidirectional sugar transporter SWEET12-like protein(SWEET12);8#10;;2;4h;;;;;;;;-0.3;;-0.8;;;;;;;;;;;;;;0.034507622;;0.000153205;;;;;;
AT2G30950;FtsH extracellular protease family(VAR2);8;;1;4h;;;;;;;;-0.3;;;;;;;;;;;;;;;;0.012573617;;;;;;;;
AT2G42790;citrate synthase 3(CSY3);8;;1;4h;;;;;;;;-0.3;;;;;;;;;;;;;;;;0.028271124;;;;;;;;
AT1G32230;WWE protein-protein interaction domain protein family(RCD1);8;;1;4h;;;;;;;;-0.2;;;;;;;;;;;;;;;;0.040319958;;;;;;;;
AT4G27090;Ribosomal protein L14(AT4G27090);7;8;2;4h;;;;;;;-0.7;0.2;;;;;;;;;;;;;;;0.010789942;0.034902122;;;;;;;;
AT5G49720;glycosyl hydrolase 9A1(GH9A1);;8;1;4h;;;;;;;;0.3;;;;;;;;;;;;;;;;0.012914808;;;;;;;;
AT2G02130;low-molecular-weight cysteine-rich 68(LCR68);12#16;8;3;4h;;;;;;;;0.3;;;;-0.4;;;;-0.7;;;;;;;;0.037753546;;;;6.58E-05;;;;0.042981219
AT5G08530;51 kDa subunit of complex I(CI51);;8;1;4h;;;;;;;;0.3;;;;;;;;;;;;;;;;0.015347964;;;;;;;;
AT3G48560;chlorsulfuron/imidazolinone resistant 1(CSR1);;6#8;2;4h;;;;;;0.6;;0.3;;;;;;;;;;;;;;0.013095822;;0.01708673;;;;;;;;
AT4G11420;eukaryotic translation initiation factor 3A(EIF3A);;8;1;4h;;;;;;;;0.3;;;;;;;;;;;;;;;;0.035555246;;;;;;;;
AT1G02780;Ribosomal protein L19e family protein(emb2386);10;8;2;4h;;;;;;;;0.3;;-0.3;;;;;;;;;;;;;;0.001626838;;0.039890803;;;;;;
